tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
4,9,True,"","","",4,"2;4","0"
4,10,True,"","","",2,"0;2","1;2;0;1"
4,11,True,"","","",5,"2;5","1;3;2;1"
4,12,True,"","","",6,"0;6","2;2;0;1;3;0;1"
4,13,False,"Al Aluminum",1.39,"14;49",128,"5;13;0;52;1;63","22;0;5;5;1;6;1;5;1;0;5;5;0;2;1;2;3;1;1"
4,14,False,"K Potassium",0.55,"15;36",85,"1;60;0;14;5;11","12;0;1;4;5;4;5;1;2;3;1;1;1;0;1"
4,15,False,"Fe Iron",0.20,"16;33",36,"0;6;5;7;1;23","4;0;5;1;1;1;1;0;1;5;1;1"
4,16,False,"K Potassium",0.51,"17;30",33,"0;5;5;5;1;23","3;1;0;1;5;1;1;0;1;1"
4,17,False,"Ca Calcium",10.73,"18;29",29,"0;3;1;23;5;3","2;5;1;1;0;1;1"
4,18,False,"Ca Calcium",8.68,"19;24",27,"1;23;5;3;0;1","2;5;1;1;0;1;1"
4,19,False,"K Potassium",0.42,"20;23",4,"1;2;5;1;0;1","1;0;1;1"
4,20,False,"Ca Calcium",8.27,"21;22",2,"5;1;0;1","0"
4,21,True,"","","",1,"0;1","0"
4,22,True,"","","",1,"5;1","0"
4,23,True,"","","",2,"1;2","1;0;1;1"
4,24,False,"Refractive Index",1.52,"25;28",23,"1;21;5;2","1;5;1;1"
4,25,False,"Refractive Index",1.52,"26;27",9,"5;2;1;7","1;5;1;1"
4,26,True,"","","",7,"1;7","1;5;1;1"
4,27,True,"","","",2,"5;2","0"
4,28,True,"","","",14,"1;14","0"
4,29,True,"","","",2,"0;2","0"
4,30,False,"Refractive Index",1.52,"31;32",4,"0;2;5;2","1;1;0;1"
4,31,True,"","","",2,"5;2","0"
4,32,True,"","","",2,"0;2","1;1;0;1"
4,33,False,"K Potassium",0.39,"34;35",3,"0;1;5;2","1;0;5;1"
